Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(EVEN MIDDLE),(8 (B A)),CONCRETE,INSTRUCTED,1.615,0.753,1
(ODD B),(8 (A B)),SYMBOLIC,INFERRED,0.91499996,1.2509999,1
(EVEN INDEX),(7 (B A)),CONCRETE,INFERRED,0.86500025,1.1659994,1
(ODD INDEX),(3 (B A)),CONCRETE,INSTRUCTED,0.91499996,0.6430006,1
(ODD MIDDLE),(6 (A B)),CONCRETE,INFERRED,0.8649998,1.1160002,1
(ODD B),(1 (A B)),SYMBOLIC,INSTRUCTED,0.8649998,0.9279995,1
(EVEN B),(8 (A B)),SYMBOLIC,INSTRUCTED,0.9150009,0.87800026,1
(ODD INDEX),(4 (A B)),CONCRETE,INFERRED,0.914999,1.1160011,1
(EVEN A),(6 (A B)),SYMBOLIC,INSTRUCTED,0.914999,0.828001,1
(ODD A),(9 (A B)),SYMBOLIC,INSTRUCTED,0.8649998,0.87800026,1
(EVEN MIDDLE),(1 (B A)),CONCRETE,INFERRED,0.8649998,1.1159992,1
(ODD MIDDLE),(2 (A B)),CONCRETE,INFERRED,0.8650017,1.1159973,1
(ODD MIDDLE),(7 (A B)),CONCRETE,INSTRUCTED,0.8650017,0.74300003,1
(ODD A),(1 (A B)),SYMBOLIC,INSTRUCTED,0.9150009,0.8279991,1
(ODD INDEX),(2 (B A)),CONCRETE,INFERRED,0.86499786,1.1660004,1
(EVEN INDEX),(2 (B A)),CONCRETE,INSTRUCTED,0.9150009,0.64300156,1
(EVEN B),(7 (B A)),SYMBOLIC,INFERRED,0.86499786,1.3510017,1
(EVEN A),(9 (B A)),SYMBOLIC,INFERRED,0.9150009,1.2509995,1
(ODD INDEX),(1 (A B)),CONCRETE,INSTRUCTED,0.86499786,0.6930008,1
(EVEN A),(8 (A B)),SYMBOLIC,INSTRUCTED,0.8650017,0.87799835,1
(ODD INDEX),(1 (B A)),CONCRETE,INSTRUCTED,0.8650017,0.692997,1
(EVEN A),(6 (B A)),SYMBOLIC,INSTRUCTED,0.8650017,0.9280014,1
(ODD B),(4 (B A)),SYMBOLIC,INFERRED,0.9149971,1.3010025,1
(ODD B),(7 (B A)),SYMBOLIC,INSTRUCTED,0.9150009,0.8279953,1
(EVEN INDEX),(9 (B A)),CONCRETE,INFERRED,0.8650055,1.1660004,1
(ODD A),(8 (A B)),SYMBOLIC,INFERRED,0.9149933,1.3010025,1
