Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(ODD MIDDLE),(9 (A B)),CONCRETE,INSTRUCTED,1.765,0.8980001,1
(EVEN INDEX),(6 (A B)),CONCRETE,INSTRUCTED,1.065,0.78799963,1
(EVEN INDEX),(8 (A B)),CONCRETE,INSTRUCTED,1.0150003,0.8380003,1
(EVEN INDEX),(4 (A B)),CONCRETE,INSTRUCTED,1.0149994,0.8380003,1
(ODD B),(3 (B A)),SYMBOLIC,INSTRUCTED,1.0150003,1.0229998,1
(EVEN A),(1 (A B)),SYMBOLIC,INFERRED,1.0149994,1.2800007,1
(EVEN INDEX),(1 (A B)),CONCRETE,INFERRED,1.0650005,1.0450001,1
(ODD A),(3 (B A)),SYMBOLIC,INSTRUCTED,1.0649986,1.0230007,1
(ODD MIDDLE),(1 (A B)),CONCRETE,INSTRUCTED,1.0650005,0.83799934,1
(EVEN MIDDLE),(4 (A B)),CONCRETE,INSTRUCTED,1.0650005,0.83799934,1
(EVEN B),(8 (A B)),SYMBOLIC,INSTRUCTED,1.0650005,1.0229988,1
(EVEN INDEX),(3 (B A)),CONCRETE,INFERRED,1.0650024,1.0449982,1
(ODD B),(8 (A B)),SYMBOLIC,INFERRED,1.0649986,1.1800003,1
(EVEN B),(2 (B A)),SYMBOLIC,INSTRUCTED,1.0149994,1.0230026,1
(EVEN B),(3 (B A)),SYMBOLIC,INFERRED,1.0149994,1.2799988,1
(EVEN B),(3 (A B)),SYMBOLIC,INFERRED,1.0650024,1.1800003,1
(EVEN INDEX),(9 (A B)),CONCRETE,INFERRED,1.0149994,1.0949974,1
(ODD MIDDLE),(1 (B A)),CONCRETE,INSTRUCTED,1.0650024,0.83799744,1
(ODD A),(8 (B A)),SYMBOLIC,INFERRED,1.0650024,1.1800003,1
(ODD B),(2 (B A)),SYMBOLIC,INFERRED,1.0149994,1.2799988,1
(EVEN B),(4 (B A)),SYMBOLIC,INSTRUCTED,1.0650024,0.97299576,1
(ODD MIDDLE),(3 (B A)),CONCRETE,INSTRUCTED,1.0149994,0.8880005,1
(EVEN MIDDLE),(4 (B A)),CONCRETE,INSTRUCTED,1.0650024,0.83799744,1
(EVEN MIDDLE),(2 (A B)),CONCRETE,INSTRUCTED,1.0650024,0.83799744,1
(ODD B),(9 (A B)),SYMBOLIC,INSTRUCTED,1.0650024,1.0230026,1
