Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(EVEN B),(7 (B A)),SYMBOLIC,INFERRED,1.309,1.1399999,1
(ODD A),(8 (B A)),SYMBOLIC,INFERRED,1.1490002,1.1399999,1
(ODD B),(4 (B A)),SYMBOLIC,INFERRED,1.1490002,1.1400003,1
(ODD B),(9 (B A)),SYMBOLIC,INSTRUCTED,1.1489992,0.95000076,1
(EVEN B),(8 (B A)),SYMBOLIC,INSTRUCTED,1.1489992,0.95000076,1
(ODD INDEX),(4 (B A)),CONCRETE,INFERRED,1.1490002,0.9549999,1
(EVEN B),(9 (A B)),SYMBOLIC,INFERRED,1.1490002,1.1399994,1
(ODD MIDDLE),(3 (B A)),CONCRETE,INSTRUCTED,1.1490002,0.7649994,1
(EVEN MIDDLE),(7 (B A)),CONCRETE,INFERRED,1.1490002,0.9549999,1
(EVEN A),(1 (B A)),SYMBOLIC,INFERRED,1.1490002,1.1399994,1
(EVEN A),(9 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD MIDDLE),(8 (A B)),CONCRETE,INFERRED,1.1489983,0.95500183,1
(ODD INDEX),(7 (A B)),CONCRETE,INSTRUCTED,1.1489983,0.7649994,1
(EVEN A),(9 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN B),(6 (A B)),SYMBOLIC,INSTRUCTED,1.1489983,0.95000076,1
(EVEN MIDDLE),(3 (A B)),CONCRETE,INFERRED,1.1490021,0.954998,1
(EVEN A),(1 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN MIDDLE),(1 (B A)),CONCRETE,INFERRED,1.1489983,0.95500183,1
(ODD INDEX),(1 (B A)),CONCRETE,INSTRUCTED,1.1489983,0.7649994,1
(ODD A),(8 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN B),(8 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN MIDDLE),(8 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(EVEN INDEX),(7 (B A)),CONCRETE,INFERRED,1.1490021,0.9549942,1
(ODD A),(3 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.9500046,1
(ODD B),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1489944,0.9500046,1
(ODD A),(3 (B A)),SYMBOLIC,INSTRUCTED,1.1489944,0.9500046,1
(ODD B),(9 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN INDEX),(1 (A B)),CONCRETE,INFERRED,1.1490021,0.9549942,1
(ODD MIDDLE),(4 (B A)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN A),(7 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN A),(2 (B A)),SYMBOLIC,INSTRUCTED,1.1489944,0.9500046,1
(EVEN B),(1 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD B),(8 (B A)),SYMBOLIC,INFERRED,1.1489944,1.140007,1
(EVEN INDEX),(3 (B A)),CONCRETE,INFERRED,1.1489944,0.95500183,1
(ODD A),(7 (B A)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN A),(4 (B A)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN INDEX),(8 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(ODD B),(2 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD B),(2 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN B),(4 (B A)),SYMBOLIC,INSTRUCTED,1.1489944,0.9500046,1
(EVEN MIDDLE),(2 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(EVEN A),(2 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(ODD INDEX),(6 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN A),(8 (B A)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN MIDDLE),(9 (B A)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN INDEX),(2 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(EVEN B),(1 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD MIDDLE),(2 (B A)),CONCRETE,INFERRED,1.1490021,0.9549866,1
(EVEN B),(2 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.9500122,1
(ODD A),(4 (B A)),SYMBOLIC,INFERRED,1.1489868,1.1399994,1
(ODD A),(7 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.9500122,1
(ODD INDEX),(9 (A B)),CONCRETE,INSTRUCTED,1.1489868,0.7649994,1
(ODD INDEX),(6 (B A)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN INDEX),(3 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN A),(7 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD B),(6 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD A),(2 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN MIDDLE),(2 (A B)),CONCRETE,INSTRUCTED,1.1489868,0.76501465,1
(ODD MIDDLE),(1 (B A)),CONCRETE,INSTRUCTED,1.1489868,0.7649994,1
(ODD INDEX),(8 (B A)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(EVEN B),(7 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD MIDDLE),(2 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD INDEX),(2 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD MIDDLE),(6 (B A)),CONCRETE,INFERRED,1.1489868,0.95500183,1
(EVEN B),(3 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN MIDDLE),(8 (A B)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(EVEN INDEX),(6 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(ODD MIDDLE),(8 (B A)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD INDEX),(2 (B A)),CONCRETE,INFERRED,1.1490021,0.9549866,1
(EVEN INDEX),(8 (A B)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(ODD A),(6 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(ODD B),(8 (A B)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN B),(9 (B A)),SYMBOLIC,INFERRED,1.1490021,1.1399994,1
(EVEN INDEX),(7 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD A),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(ODD INDEX),(8 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD MIDDLE),(6 (A B)),CONCRETE,INFERRED,1.1490021,0.9549866,1
(ODD INDEX),(9 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(ODD B),(3 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.94999695,1
(EVEN MIDDLE),(1 (A B)),CONCRETE,INFERRED,1.1490021,0.95500183,1
(ODD MIDDLE),(3 (A B)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(ODD MIDDLE),(9 (B A)),CONCRETE,INSTRUCTED,1.1490021,0.7649994,1
(EVEN A),(4 (A B)),SYMBOLIC,INSTRUCTED,1.1490021,0.9499817,1
(EVEN INDEX),(1 (B A)),CONCRETE,INFERRED,1.1490173,0.9549866,1
(EVEN A),(6 (A B)),SYMBOLIC,INSTRUCTED,1.1490173,0.9499817,1
(EVEN INDEX),(6 (A B)),CONCRETE,INSTRUCTED,1.1490173,0.76498413,1
(EVEN INDEX),(4 (A B)),CONCRETE,INSTRUCTED,1.1490173,0.76498413,1
(EVEN B),(4 (A B)),SYMBOLIC,INSTRUCTED,1.1490173,0.9499817,1
(EVEN MIDDLE),(6 (A B)),CONCRETE,INSTRUCTED,1.1490173,0.76498413,1
(ODD MIDDLE),(1 (A B)),CONCRETE,INSTRUCTED,1.1490173,0.76498413,1
