Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(ODD A),(3 (B A)),SYMBOLIC,INSTRUCTED,1.33,1.15,1
(EVEN MIDDLE),(7 (B A)),CONCRETE,INFERRED,1.1799998,0.987,1
(ODD A),(2 (B A)),SYMBOLIC,INFERRED,1.1800003,1.7269998,1
(ODD INDEX),(6 (B A)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(EVEN A),(8 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,0.96500015,1
(ODD A),(7 (A B)),SYMBOLIC,INSTRUCTED,1.1800003,0.96500015,1
(EVEN MIDDLE),(1 (A B)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(ODD B),(1 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,1.1499996,1
(EVEN MIDDLE),(7 (A B)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(ODD INDEX),(4 (B A)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(ODD A),(8 (B A)),SYMBOLIC,INFERRED,1.1800003,1.1720009,1
(ODD A),(1 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,0.96500015,1
(EVEN INDEX),(4 (A B)),CONCRETE,INSTRUCTED,1.1800003,0.7799988,1
(ODD INDEX),(8 (A B)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(ODD INDEX),(4 (A B)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(EVEN INDEX),(9 (B A)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(EVEN B),(9 (A B)),SYMBOLIC,INFERRED,1.1800003,1.1720009,1
(EVEN A),(2 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,0.96500015,1
(EVEN MIDDLE),(4 (A B)),CONCRETE,INSTRUCTED,1.1800003,0.7799988,1
(ODD A),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1800003,0.96500015,1
(ODD MIDDLE),(6 (B A)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(EVEN A),(9 (A B)),SYMBOLIC,INFERRED,1.1800003,1.1719971,1
(EVEN MIDDLE),(2 (A B)),CONCRETE,INSTRUCTED,1.1800003,0.7799988,1
(EVEN B),(1 (B A)),SYMBOLIC,INFERRED,1.1800003,1.1720047,1
(ODD INDEX),(9 (B A)),CONCRETE,INSTRUCTED,1.1800003,0.7799988,1
(ODD B),(2 (B A)),SYMBOLIC,INFERRED,1.1800003,1.1719971,1
(ODD A),(7 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,1.1500015,1
(ODD B),(3 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,0.96499634,1
(EVEN MIDDLE),(1 (B A)),CONCRETE,INFERRED,1.1800003,0.9869995,1
(ODD A),(9 (B A)),SYMBOLIC,INSTRUCTED,1.1800003,1.1500015,1
