Instructed,Rule,Stimulation,Site,Accuracy,EncodingTime,ResponseTime,Subject
0,0,0,0,1,3.2555,1.219,1
0,0,1,0,1,1.2692,2.2204,1
0,0,2,0,1,1.1523,1.1856,1
1,0,2,0,1,0.65166,1.3192,1
1,0,1,0,1,0.902,1.6529,1
0,1,0,0,1,1.2192,1.7031,1
1,1,1,0,1,0.75184,0.98542,1
0,1,2,0,1,0.66841,0.9186,1
1,0,0,0,1,0.73521,0.78523,1
1,0,0,0,1,0.81857,1.0188,1
0,0,1,0,1,0.51816,1.119,1
1,0,2,0,1,0.55148,0.71831,1
0,1,0,0,1,1.0524,0.61822,1
0,0,2,0,1,0.51803,1.7864,1
1,0,1,0,1,1.3526,0.88518,1
0,1,1,0,1,0.5182,0.86859,1
0,1,0,0,1,0.71852,0.68487,1
1,1,2,0,1,0.63507,0.80176,1
0,1,0,0,1,0.86872,0.5682,1
1,1,1,0,1,0.51815,0.71821,1
0,1,2,0,1,0.5182,0.81852,1
1,0,2,0,1,0.58498,0.75164,1
0,0,1,0,1,1.1858,1.0021,1
1,1,0,0,1,0.66852,1.0521,1
1,1,2,0,1,0.51816,0.635,1
1,0,0,0,1,0.63481,0.85186,1
0,1,1,0,1,0.63509,0.68487,1
0,0,0,0,1,0.51809,0.95191,1
1,1,2,0,0,0.60162,0.90188,1
0,1,1,0,1,0.81862,0.76848,1
0,0,0,0,1,0.66839,0.91864,1
1,0,1,0,1,0.61845,0.85184,1
1,1,2,0,1,0.58489,1.4025,1
0,0,0,0,1,0.65171,1.3358,1
1,1,2,0,1,0.75179,0.60152,1
0,1,1,0,1,0.58486,0.7684,1
0,1,1,0,1,0.75185,2.3038,1
0,0,2,0,1,0.66851,1.5863,1
1,1,0,0,1,1.2693,0.93542,1
1,1,1,0,1,0.65177,0.85193,1
0,0,0,0,1,0.56819,1.2356,1
0,0,2,0,1,0.53488,0.76847,1
0,0,0,0,1,0.68508,0.93535,1
1,1,1,0,1,0.73512,1.0021,1
0,0,2,0,1,0.51824,2.2704,1
1,1,1,0,1,0.78507,1.2858,1
0,0,2,0,1,0.58492,1.0187,1
1,1,0,0,1,1.0689,0.80179,1
0,1,1,0,1,0.70172,0.86856,1
1,1,2,0,1,0.63495,0.68495,1
0,1,0,0,1,0.86869,0.6183,1
1,1,0,0,1,1.4361,0.53473,1
0,0,1,0,1,0.58491,0.88523,1
1,1,2,0,1,0.51808,0.63489,1
0,0,0,0,1,0.81856,1.0521,1
1,0,1,0,1,0.71855,1.1356,1
1,0,2,0,1,0.5182,0.65157,1
0,0,2,0,1,0.85193,1.5361,1
1,1,0,0,1,0.78524,0.60155,1
0,0,1,0,1,0.51827,0.86855,1
1,0,2,1,1,1.3028,0.93542,1
0,1,1,1,1,0.85213,0.80177,1
1,0,0,1,1,0.68505,0.76833,1
1,0,1,1,1,0.55151,0.7182,1
1,1,0,1,1,0.56825,0.91867,1
1,0,2,1,1,0.55158,0.65157,1
0,1,2,1,1,0.63495,0.50144,1
1,1,1,1,1,0.55161,0.60152,1
0,1,0,1,1,0.58498,0.55152,1
0,1,2,1,1,0.51826,0.86849,1
0,1,0,1,1,0.51826,0.50138,1
0,1,1,1,1,0.51821,0.53474,1
1,1,1,1,1,0.5182,0.78501,1
1,0,2,1,1,0.53502,1.2691,1
0,0,0,1,1,0.61848,0.7684,1
1,0,2,1,1,0.51819,0.76834,1
1,1,0,1,1,0.55153,0.98531,1
0,0,1,1,1,0.68501,0.98545,1
1,0,0,1,1,0.5516,1.703,1
0,0,1,1,1,0.56828,0.90197,1
1,0,2,1,1,0.73522,0.83509,1
1,1,2,1,1,0.65179,1.1689,1
1,1,0,1,1,0.65176,0.90192,1
0,0,1,1,1,0.51811,1.1523,1
1,1,1,1,1,0.51821,1.0688,1
0,0,2,1,1,0.51828,0.83505,1
0,0,0,1,1,0.51803,1.3692,1
0,0,0,1,1,0.5182,0.66834,1
0,0,2,1,1,0.51814,0.88518,1
0,1,1,1,1,0.56827,0.71849,1
1,1,2,1,1,0.51821,0.75175,1
1,1,0,1,1,0.51803,0.58482,1
1,0,1,1,1,0.51815,0.7519,1
1,1,0,1,1,0.51801,0.70165,1
1,0,1,1,1,0.51828,1.269,1
0,1,2,1,1,0.51815,0.76834,1
1,1,2,1,1,0.5183,0.55151,1
0,1,0,1,1,0.60161,0.66822,1
0,1,1,1,1,0.51813,0.5014,1
1,0,0,1,1,0.51807,1.0854,1
0,0,1,1,1,0.518,1.0855,1
1,0,2,1,1,0.56842,1.0354,1
1,1,2,1,1,0.55158,1.2858,1
0,1,1,1,1,0.51826,1.3358,1
0,0,0,1,1,0.51824,1.2023,1
1,0,2,1,1,0.6184,0.7184,1
1,0,0,1,1,0.56815,0.8352,1
1,1,1,1,1,0.60159,0.9353,1
0,1,2,1,1,0.51814,0.91864,1
1,1,1,1,1,0.51805,0.78515,1
0,1,0,1,1,0.51809,0.66823,1
0,1,1,1,1,0.51819,0.58477,1
1,0,0,1,1,0.51815,0.7684,1
0,0,2,1,1,0.51819,0.88518,1
1,1,1,1,1,0.51812,0.81847,1
0,0,2,1,1,0.71846,0.91861,1
0,0,0,1,1,0.55157,0.61814,1
0,0,1,1,1,0.51827,0.68489,1
0,1,2,1,1,0.51829,0.50146,1
1,0,0,1,1,0.61829,0.75168,1
0,0,0,0,1,0.83559,1.3025,1
1,1,1,0,1,0.5517,0.78522,1
1,0,2,0,1,0.5181,0.76842,1
1,1,2,0,1,0.51812,0.80177,1
1,1,0,0,1,0.51815,0.53478,1
1,1,1,0,1,0.58496,0.81851,1
0,0,1,0,0,0.60158,0.80179,1
